year,best_of,player_ht,player_age,player_rank,player_rank_points,opponent_ht,opponent_age,opponent_rank,opponent_rank_points,label,month,rank_diff,age_diff,height_diff,rank_points_diff,player_is_left,opponent_is_left,rounds_remaining,surface_Clay,surface_Grass,tourney_level_A,tourney_level_F,tourney_level_G,tourney_level_M,tourney_level_O
2013,3,181.0,23.4,77.0,673.0,203.0,26.6,36.0,1065.0,0,1,41.0,-3.200000000000003,-22.0,-392.0,0,0,5,False,False,True,False,False,False,False
2013,3,188.0,31.2,42.0,1005.0,188.0,25.9,37.0,1063.0,1,1,5.0,5.300000000000001,0.0,-58.0,1,0,5,False,False,True,False,False,False,False
2013,3,188.0,25.9,37.0,1063.0,188.0,31.2,42.0,1005.0,0,1,-5.0,-5.300000000000001,0.0,58.0,0,1,5,False,False,True,False,False,False,False
2013,3,191.0,26.7,33.0,1100.0,188.0,25.1,105.0,529.0,1,1,-72.0,1.5999999999999979,3.0,571.0,0,0,5,False,False,True,False,False,False,False
2013,3,188.0,25.1,105.0,529.0,191.0,26.7,33.0,1100.0,0,1,72.0,-1.5999999999999979,-3.0,-571.0,0,0,5,False,False,True,False,False,False,False
2013,3,178.0,25.6,47.0,880.0,191.0,21.6,41.0,1008.0,1,1,6.0,4.0,-13.0,-128.0,0,0,5,False,False,True,False,False,False,False
2013,3,191.0,21.6,41.0,1008.0,178.0,25.6,47.0,880.0,0,1,-6.0,-4.0,13.0,128.0,0,0,5,False,False,True,False,False,False,False
2013,3,183.0,23.5,191.0,259.0,180.0,30.6,109.0,515.0,1,1,82.0,-7.100000000000001,3.0,-256.0,0,0,5,False,False,True,False,False,False,False
2013,3,180.0,30.6,109.0,515.0,183.0,23.5,191.0,259.0,0,1,-82.0,7.100000000000001,-3.0,256.0,0,0,5,False,False,True,False,False,False,False
2013,3,190.0,29.2,28.0,1215.0,185.0,23.7,100.0,546.0,1,1,-72.0,5.5,5.0,669.0,0,0,5,False,False,True,False,False,False,False
2013,3,185.0,23.7,100.0,546.0,190.0,29.2,28.0,1215.0,0,1,72.0,-5.5,-5.0,-669.0,0,0,5,False,False,True,False,False,False,False
2013,3,196.0,20.2,64.0,740.0,194.0,27.4,49.0,845.0,1,1,15.0,-7.199999999999999,2.0,-105.0,0,0,5,False,False,True,False,False,False,False
2013,3,194.0,27.4,49.0,845.0,196.0,20.2,64.0,740.0,0,1,-15.0,7.199999999999999,-2.0,105.0,0,0,5,False,False,True,False,False,False,False
2013,3,185.0,31.4,44.0,927.0,175.0,33.2,78.0,668.0,1,1,-34.0,-1.8000000000000043,10.0,259.0,1,0,5,False,False,True,False,False,False,False
2013,3,175.0,33.2,78.0,668.0,185.0,31.4,44.0,927.0,0,1,34.0,1.8000000000000043,-10.0,-259.0,0,1,5,False,False,True,False,False,False,False
2013,3,185.0,20.6,68.0,717.0,208.0,27.7,13.0,2215.0,1,1,55.0,-7.099999999999998,-23.0,-1498.0,0,0,4,False,False,True,False,False,False,False
2013,3,208.0,27.7,13.0,2215.0,185.0,20.6,68.0,717.0,0,1,-55.0,7.099999999999998,23.0,1498.0,0,0,4,False,False,True,False,False,False,False
2013,3,185.0,26.3,46.0,897.0,188.0,29.1,24.0,1490.0,1,1,22.0,-2.8000000000000007,-3.0,-593.0,0,1,4,False,False,True,False,False,False,False
